18,1.416
19,1.428
20,1.44
21,1.45
22,1.46
23,1.469
24,1.476
25,1.483
26,1.488
27,1.493
28,1.496
29,1.498
30,1.498
31,1.498
32,1.496
33,1.493
34,1.488
35,1.483
36,1.476
37,1.469
38,1.46
39,1.45
40,1.44
41,1.428
42,1.416
43,1.403
44,1.39
45,1.376
46,1.362
47,1.347
48,1.332
49,1.317
50,1.302
51,1.287
52,1.272
53,1.257
54,1.242
55,1.228
56,1.214
57,1.2
58,1.187
59,1.174
60,1.161
61,1.15
62,1.138
63,1.127
64,1.117
65,1.107
66,1.098
67,1.09
68,1.082
69,1.074
70,1.067
71,1.06
72,1.054
73,1.049
74,1.044
75,1.039
76,1.035
77,1.031
78,1.027
79,1.024
80,1.021
81,1.019
82,1.016
83,1.014
84,1.013
85,1.011
86,1.009
87,1.008
88,1.007
89,1.006
90,1.005
91,1.004
92,1.004
93,1.003
94,1.002
95,1.002
96,1.002
97,1.001
98,1.001
99,1.001
100,1.001
